Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
"Wholesale Companies With Fewer Than 100 Employees (Top 10K)","9,652","986","1","524","The top 10,000 companies and startups in the wholesale space with fewer than 100 employees, by Crunchbase rank.","Sep 15, 2022 11:52 AM","Active, Industry, Company, Employee Range","—","—","Wholesale","Commerce and Shopping","—","—","—","—","—","—","—",—,—,"757","262","May 28, 1988","17","9,408","0%","1%","69","Jan 11, 2010","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Pre-Seed,&nbsp;Private Equity","672","1","$2,287,273,180","$415,000","$2,110,960,915","May 28, 1988","$994,218,151","$43,659,075","$4,674,280,113","$1,144,600,000","2%","175","84","$9,631,083,293","$34,250,000","Micro VC,&nbsp;Private Equity Firm,&nbsp;Venture Capital","28","33","1","9","1","5","2","0",—,"1,377","0","1","944,319.64","1.53","1.53","2.48"
"United States Companies With More Than 500 Employees (Top 10K)","9,739","966","3,713","525","The top 10,000 companies and startups in United States with more than 500 employees, by Crunchbase rank.","Sep 15, 2022 10:28 AM","Active, Company, Employee Range, Location","—","—","—","—","United States, North America","Country","—","—","—","—","—",—,—,"19,151","6,339","Dec 29, 1974","221","9,209","2%","23%","2,905","Sep 6, 2002","5%","Private Equity,&nbsp;Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Grant,&nbsp;Post-IPO Debt","12,424","2","$1,546,545,399,014","$29,663,761","$838,848,869,754","Dec 29, 1974","$484,626,736,877","$169,922,529","$2,505,622,999,284","$1,381,057,964","32%","4,148","33,851","$4,346,968,290,307","$1,110,825,265","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Government Office","25,957","33,011","2","11,702","2","7,859","1","587","$1,028,855,918,337","11,066","2,604","5,317","119,430.45","0.71","0.71","1.26"
"Venture Capital Investors with Investments in Central Region","1,445","144","34","526","Venture capital investors that made investments in companies headquartered in Central Region.","Sep 15, 2022 10:15 AM","Active, Investments in Location, Investor Type","—","—","—","—","Central Region, Singapore, Asia","State/Region","—","—","—","—",—,"—",—,"337","82","Apr 24, 2009","2","236","0%","2%","33","Apr 15, 2005",—,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","225","1","$10,980,453,133",—,"$8,499,945,326","Apr 24, 2009","$25,070,000,000","$5,400,000,000","$158,199,999,999","$79,100,000,000","0%","7","555",—,—,"Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","85,810","120,033","22","32,916","7","16,140","4","2,315","$887,560,512,142","1,896","3","4","210,676.11","1.06","1.06","1.12"
"Information Technology Companies With Less Than $1B in Revenue (Top 10K)","9,847","966","1,839","526","The top 10,000 companies and startups in the information technology space with less than $1b in revenue, by Crunchbase rank.","Sep 15, 2022 9:17 AM","Active, Industry, Company, Revenue Range","—","—","Information Technology","Information Technology","—","—","—","—","—","—","—","—","$500M to $1B","28,410","9,512","Aug 25, 2008","47","9,575","0%","5%","574","Dec 3, 2010","1%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Series B","21,218","2","$284,309,410,773","$3,269,956","$233,517,750,839","Aug 25, 2008","$38,737,501,055","$103,500,000","$227,355,689,596","$569,296,000","19%","2,070","6,598","$429,579,502,880","$250,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","10,435","13,714","2","4,147","3","2,322","2","374","$118,038,074,758","16,578","5","9","87,991.59","0.67","0.67","0.98"
"New England Companies With Fewer Than 1000 Employees (Top 10K)","9,922","985","467","527","The top 10,000 companies and startups in New England with fewer than 1000 employees, by Crunchbase rank.","Sep 15, 2022 9:26 AM","Active, Company, Employee Range, Location","—","—","—","—","New England, United States, North America","Regional Area","—","—","—","—","—",—,—,"20,737","6,817","Oct 18, 2000","251","8,847","3%","4%","456","Sep 11, 2011","1%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Series B","16,391","2","$207,687,775,522","$2,972,113","$179,122,345,562","Oct 18, 2000","$34,171,856,556","$90,000,000","$145,128,372,234","$457,800,000","17%","1,874","3,187","$216,855,066,214","$195,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","14,618","21,201","9","6,481","6","5,223","6","794","$450,102,728,379","12,176","39","108","175,552.63","0.85","0.85","1.33"
"Asia Companies With Fewer Than 100 Employees (Top 10K)","9,861","980","1,265","528","The top 10,000 companies and startups in Asia with fewer than 100 employees, by Crunchbase rank.","Sep 15, 2022 9:00 AM","Active, Company, Employee Range, Location","—","—","—","—","Asia","Continent","—","—","—","—","—",—,—,"47,404","14,214","Jan 21, 2015","44","9,144","0%","3%","375","Oct 9, 2015","0%","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","24,806","2","$248,462,948,545","$4,159,930","$227,899,790,820","Jan 21, 2015","$7,489,626,898","$39,150,000","$45,455,799,911","$205,000,000","5%","511","552","$32,319,826,988","$38,228,872","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","15,931","22,024","3","7,350","5","2,135","4","585","$100,405,490,376","16,450","2","4","45,644.11","0.73","0.73","1.13"
"Western US Medical Companies (Top 10K)","9,552","981","24","529","The top 10,000 companies and startups in Western US in the medical space, by Crunchbase rank.","Sep 15, 2022 9:41 AM","Active, Industry, Company, Location","—","—","Medical","Health Care","Western US, United States, North America","Regional Area","—","—","—","—","—","—",—,"7,205","2,218","Oct 24, 1998","610","8,602","6%","2%","262","Nov 3, 2011","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","5,825","2","$96,908,016,239","$4,515,087","$81,722,190,894","Oct 24, 1998","$14,790,022,283","$83,600,000","$81,307,957,347","$472,500,000","6%","638","585","$164,262,194,413","$222,500,000","Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Corporate Venture Capital,&nbsp;Micro VC","926","1,132","1","209","1","177","1","22","$827,006,139","4,218","486","1,083","801,419.27","1.39","1.39","2.19"
"Health Care Companies With More Than $10M in Revenue (Top 10K)","9,902","988","300","530","The top 10,000 companies and startups in the health care space with more than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 12:32 PM","Active, Industry, Company, Revenue Range","—","—","Health Care","Health Care","—","—","—","—","—","—","—","—","$10M to $50M","11,393","4,038","Feb 5, 1984","1,143","8,347","12%","8%","1,019","Dec 23, 2009","1%","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Post-IPO Equity,&nbsp;Grant,&nbsp;Debt Financing","9,131","2","$390,269,880,284","$15,318,879","$283,336,238,798","Feb 5, 1984","$97,451,511,154","$106,750,000","$437,984,033,656","$557,290,000","12%","1,372","6,117","$940,723,877,390","$534,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Micro VC","6,990","10,291","2","3,825","2","2,649","2","171","$209,183,261,168","6,055","11","15","283,499.67","1.16","1.16","1.93"
"Greater Los Angeles Area Companies With Fewer Than 100 Employees (Top 10K)","9,854","996","387","531","The top 10,000 companies and startups in Greater Los Angeles Area with fewer than 100 employees, by Crunchbase rank.","Sep 15, 2022 12:15 PM","Active, Company, Employee Range, Location","—","—","—","—","Greater Los Angeles Area, California, United States","Regional Area","—","—","—","—","—",—,—,"14,260","3,272","Mar 3, 2008","95","9,104","1%","2%","210","Dec 21, 2010","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Debt Financing","9,817","2","$50,798,682,006","$1,375,901","$40,920,730,024","Mar 3, 2008","$4,104,614,167","$23,500,000","$14,030,010,427","$166,341,584","9%","980","1,113","$51,532,971,842","$59,250,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Incubator","6,874","8,983","6","2,075","3","1,351","4","341","$139,839,980,083","11,445","2","2","212,768.49","0.91","0.91","1.48"
"Information Technology Companies With Less Than $500M in Revenue (Top 10K)","9,731","988","1,715","532","The top 10,000 companies and startups in the information technology space with less than $500m in revenue, by Crunchbase rank.","Sep 15, 2022 10:23 AM","Active, Industry, Company, Revenue Range","—","—","Information Technology","Information Technology","—","—","—","—","—","—","—","—","$100M to $500M","28,022","9,397","Nov 14, 2008","47","9,461","0%","4%","515","Jul 14, 2011","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Series B","20,990","2","$233,893,808,448","$3,213,924","$194,146,612,376","Nov 14, 2008","$32,890,632,915","$100,737,568","$187,069,532,364","$491,433,958","18%","1,983","5,662","$341,870,325,034","$217,502,886","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","10,235","13,474","2","4,032","3","2,266","2","368","$116,948,074,758","16,416","5","9","88,273.8","0.67","0.67","0.97"
"Venture Capital Investors with Investments in Redwood City, California","860","11","16","532","Venture capital investors that made investments in companies headquartered in Redwood City, California.","Sep 15, 2022 11:53 AM","Active, Investments in Location, Investor Type","—","—","—","—","Redwood City, California, United States","City","—","—","—","—",—,"—",—,"119","25","May 18, 2004","1","98","0%","1%","11","Sep 21, 2005",—,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","95","1","$578,624,097",—,"$578,374,097","May 18, 2004","$125,000,000","$125,000,000",—,—,"1%","7","208","$725,000,000","$725,000,000","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","82,324","127,479","60","34,647","16","25,124","13","2,697","$910,150,693,456","1,353","3","5","180,414.29","0.89","0.89","0.86"
"Texas Companies With Fewer Than 50 Employees (Top 10K)","9,905","984","253","533","The top 10,000 companies and startups in Texas with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 10:39 AM","Active, Company, Employee Range, Location","—","—","—","—","Texas, United States, North America","State/Region","—","—","—","—","—",—,—,"6,392","1,918","Jan 3, 2006","128","9,210","1%","1%","142","Jun 12, 2010","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Grant","6,356","1","$40,771,048,637","$1,027,602","$36,551,935,804","Jan 3, 2006","$8,638,875,000","$55,050,000","$8,492,406,406","$136,931,000","7%","763","543","$139,662,461,370","$94,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Angel Group","3,197","4,401","5","1,357","3","714","3","265","$34,943,186,198","7,759","0","1","351,388.89","1.14","1.14","1.81"
"United Kingdom Companies With Less Than $10M in Revenue (Top 10K)","9,837","927","853","534","The top 10,000 companies and startups in United Kingdom with less than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 11:24 AM","Active, Company, Location, Revenue Range","—","—","—","—","United Kingdom, Europe","Country","—","—","—","—","—","—","$1M to $10M","11,072","3,919","Jul 30, 2005","89","9,449","1%","2%","196","Aug 4, 2012","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Equity Crowdfunding,&nbsp;Series A,&nbsp;Grant","9,997","2","$58,620,035,448","$1,326,076","$49,210,170,990","Jul 30, 2005","$3,436,159,715","$35,361,750","$13,549,524,529","$115,579,638","9%","907","1,352","$56,839,043,194","$41,112,204","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Angel Group","7,595","9,892","10","3,040","6","1,122","3","246","$48,930,482,679","9,729","2","4","273,259.76","0.92","0.92","1.33"
"Product Design Companies With Fewer Than 50 Employees (Top 10K)","9,906","967","44","535","The top 10,000 companies and startups in the product design space with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 8:51 AM","Active, Industry, Company, Employee Range","—","—","Product Design","Design","—","—","—","—","—","—","—",—,—,"2,352","732","Oct 19, 1997","20","9,724","0%","0%","37","Oct 7, 2008","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Grant,&nbsp;Series A,&nbsp;Pre-Seed","2,139","1","$5,799,532,274","$335,091","$5,074,912,799","Oct 19, 1997","$438,736,499","$31,350,000","$200,305,284","$58,000,000","2%","261","95","$4,017,489,219","$41,500,000","Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Micro VC,&nbsp;Angel Group","467","492","1","80","1","31","1","6","$3,620,029,501","4,156","0","0","867,755.5","1.49","1.49","2.2"
"Europe Companies Founded in the Last Year","1,389","267","9","536","Companies and startups founded within the last year in Europe.","Sep 15, 2022 11:56 AM","Active, Company, Founded Year, Location","—","—","—","—","Europe","Continent","—","—","—","—","—","—",—,"879","230","Jan 20, 2022","21","1,234","2%","0%","2","Apr 5, 2022",—,"Pre-Seed,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Angel","516","1","$9,003,569,079","$152,373","$8,968,607,226","Jan 20, 2022",—,"$4,200,000",—,—,"1%","10","15","$71,939,977","$446,710","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Angel Group,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","80","86","2","11","2","11","5","3","$629,759,190","1,432","0","0","574,516.75","1.83","1.83","3.59"
"Food and Beverage Companies With More Than $1M in Revenue (Top 10K)","9,378","997","47","537","The top 10,000 companies and startups in the food and beverage space with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 9:20 AM","Active, Industry, Company, Revenue Range","—","—","Food and Beverage","Food and Beverage","—","—","—","—","—","—","—","—","$1M to $10M","6,048","1,975","Dec 2, 1981","57","9,092","1%","5%","481","Mar 1, 2006","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Series B","4,851","2","$98,142,112,240","$1,872,766","$74,948,003,276","Dec 2, 1981","$14,970,091,504","$150,000,000","$78,200,620,054","$832,441,875","6%","595","1,596","$157,935,562,398","$317,806,950","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","1,754","2,143","2","702","2","212","2","71","$10,252,597,308","4,899","0","0","466,783.71","1.25","1.25","2.12"
"Therapeutics Companies With Fewer Than 100 Employees (Top 10K)","9,872","956","6","538","The top 10,000 companies and startups in the therapeutics space with fewer than 100 employees, by Crunchbase rank.","Sep 15, 2022 12:58 PM","Active, Industry, Company, Employee Range","—","—","Therapeutics","Health Care","—","—","—","—","—","—","—",—,—,"9,152","3,169","Nov 19, 2003","381","9,239","4%","3%","405","Oct 23, 2014","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","7,213","2","$88,498,043,195","$9,092,823","$82,576,571,672","Nov 19, 2003","$16,251,747,893","$75,000,000","$53,584,552,830","$352,000,000","3%","305","210","$42,645,225,258","$197,500,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Incubator,&nbsp;Private Equity Firm","506","759","1","198","2","175","2","23","$2,446,762,868","4,656","0","0","1,113,226.65","1.27","1.27","1.92"
"Building Material Companies With Less Than $50M in Revenue (Top 10K)","9,975","987","5","539","The top 10,000 companies and startups in the building material space with less than $50m in revenue, by Crunchbase rank.","Sep 15, 2022 11:52 AM","Active, Industry, Company, Revenue Range","—","—","Building Material","Real Estate","—","—","—","—","—","—","—","—","$10M to $50M","502","200","May 23, 1979","20","9,831","0%","1%","129","Dec 30, 2006","0%","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","553","1","$4,015,480,842","$647,359","$2,750,684,847","May 23, 1979","$255,262,387","$127,631,193","$201,901,236","$201,901,236","1%","97","144","$2,639,767,614","$126,000,000","Private Equity Firm,&nbsp;Incubator,&nbsp;Venture Capital","68","92","1","3","1","10","1","2","$3,105,000,000","1,090","0","0","1,145,884.14","1.31","1.31","2"
"Construction Companies With More Than $10M in Revenue (Top 10K)","9,840","1,007","40","540","The top 10,000 companies and startups in the construction space with more than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 11:14 AM","Active, Industry, Company, Revenue Range","—","—","Construction","Real Estate","—","—","—","—","—","—","—","—","$10M to $50M","609","253","Apr 1, 1974","45","9,436","0%","5%","530","Sep 5, 2004","0%","Private Equity,&nbsp;Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Post-IPO Equity,&nbsp;Grant","513","1","$31,138,934,509","$4,338,831","$15,858,354,983","Apr 1, 1974","$7,467,470,297","$236,500,000","$19,579,959,107","$1,896,000,000","2%","213","1,454","$34,345,177,374","$600,000,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Corporate Venture Capital","298","354","1","124","1","89","1","11","$4,572,951,434","1,573","1","1","741,642.69","1.41","1.41","2.37"
"New York Companies With Less Than $50M in Revenue (Top 10K)","9,857","988","967","541","The top 10,000 companies and startups in New York with less than $50m in revenue, by Crunchbase rank.","Sep 15, 2022 9:05 AM","Active, Company, Location, Revenue Range","—","—","—","—","New York, United States, North America","State/Region","—","—","—","—","—","—","$10M to $50M","22,169","5,309","Oct 22, 2003","137","9,142","1%","2%","206","Oct 26, 2011","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Grant","13,319","2","$144,967,442,213","$3,035,439","$118,910,814,939","Oct 22, 2003","$11,581,822,036","$54,000,000","$72,680,730,730","$300,000,000","11%","1,189","2,489","$94,476,678,690","$120,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Hedge Fund","17,575","24,227","9","6,341","5","4,561","4","840","$413,513,816,971","12,723","6","8","185,640.92","0.87","0.87","1.4"
